date,ipi_yoy_pct,ipi_mom_pct,ipi_food_yoy_pct,ipi_steel_yoy_pct,ipi_auto_yoy_pct,oil_yoy_pct,oil_mom_pct,gas_yoy_pct,gas_mom_pct,isac_cement_yoy_pct,isac_cement_mom_pct
2024-03-01,-20.06959948674164,8.178036556849122,-14.18932986310094,-47.30643679700803,-13.144201238371679,7.381153485920633,8.052713522257292,4.504686875403996,7.376177457556077,-38.77396751436666,-11.56149090350862
2024-04-01,-15.87894976018822,-1.0311461308187053,-8.61080882839077,-26.80758874108062,-1.0864289470787547,8.38591613576285,-2.828909109149702,5.726287644700401,-2.148335104996635,-39.44721892016692,-3.814182087663054
2024-05-01,-14.692077398969271,4.530552397574317,-6.605781347454331,-31.64137061520812,-9.061546902159822,8.839380322961699,3.7904001429570178,11.236096862199151,13.945703976654244,-27.784917545855635,16.515027492430256
2024-06-01,-19.682493249152323,-6.359302151551449,-7.9900353409460445,-36.59298541736056,-21.41273109596966,6.557174009443778,-6.419176669936788,6.757108227389885,-4.891094123334616,-28.21331687434142,-1.3770755906569065
2024-07-01,-5.501602217497759,17.342210017376903,6.29338383619098,-9.678578581710385,1.783470737136561,9.618654890791877,5.718153570964879,9.94271691297477,6.377928291128598,-20.488116692910708,9.47822880355198
2024-08-01,-6.3416843217009795,1.9829891568627689,1.6452840521421264,-9.864806101013212,-5.987899034114474,14.35318163990038,5.197668909029796,5.963383179630921,0.7422948680788632,-25.873421830510658,-6.209424849048418
2024-09-01,-6.135661879474153,-3.027619355403499,6.902735247720271,-14.725006410179587,-5.570772962804416,15.131668774695605,-0.25197081276628897,2.784253461377695,-6.902304827907891,-12.76617928290673,11.36854452797662
2024-10-01,-1.5891163635286754,7.597630461396032,7.388796077859294,-12.25336088817155,7.066489714140989,12.52588835791788,3.645028112388915,5.701981737063799,-6.531850722617327,-21.33742734683537,-11.340646351801675
2024-11-01,-1.440667671227902,-2.6174582408447056,8.709993656345528,-4.585570789128979,0.37592324399498,12.735379817919256,-1.125886334794901,0.6702321497306762,-7.576297438343849,-13.512598357119554,5.021981611217341
2024-12-01,7.876428058685736,-6.427746580988325,8.538676382037469,0.24049602815732207,15.002226213254556,11.941328783489702,4.240630384048583,9.04173246244666,1.144768902149429,-9.244229658243908,1.0747934311455598
2025-01-01,6.184290496738054,-12.69937765152882,7.530329968441651,3.685500330079905,0.4838770216573085,11.64863371660485,-1.3667615580943648,11.889444442369058,11.278288688481798,6.83446902338305,6.574237884201506
2025-02-01,5.060985086459269,0.9293896014551439,11.169224171299486,-16.58986984226898,10.470177067388153,7.408484550744188,-9.890542148439552,4.291486346772588,-5.582958273466588,7.122713395744329,-4.4523701359510675
2025-03-01,4.351977661759698,7.447993610410819,6.503606156452046,43.06192565544933,-4.61481394310378,10.451182776914925,11.113661650724605,-0.6340220105743422,2.304984419913425,18.31509350251568,-2.3212711731950053
2025-04-01,7.952782555301985,2.3839068591258394,8.201897161531724,17.447289788367137,-0.19902744021039753,9.056255307689254,-4.056117550837857,0.4137778735950448,-1.1165034336606317,25.73717625473899,2.2196981130948368
2025-05-01,5.260967476112777,1.9240710219263768,2.9895853408282047,25.41375170893796,10.033456316492995,9.411604178759148,4.128590753065842,-1.6387657848744297,11.616556153916836,5.9040699443361655,-1.8634266438004476
2025-06-01,7.99325037601426,-3.9286492362225145,4.289287200395431,8.510367881129,16.81021240922842,17.273831934614982,0.3054642136697927,7.992736376929677,4.421941035968624,12.960193057604052,5.193923019581614
2025-07-01,-1.0346331134364894,7.532783995444459,-2.6116330833904966,-4.141194327820852,-10.66130224427324,19.10002511196751,7.364401225609973,5.830435159224945,4.24795981734194,-3.21047089790103,-6.193979259365845
2025-08-01,-4.610917515797086,-1.7023422363492635,-2.1127859424904916,-6.069113710041119,-9.200818283673673,14.891357855214338,1.4802726766782959,3.3106651203148596,-1.656329080482899,5.423735169699229,2.157256553005271
2025-09-01,-0.7197588979247938,0.9281259438900902,1.3027256891704697,-1.7728269964402465,-5.763499243596337,13.729902058613197,-1.2603401876417064,-5.822112186370932,-15.13224427106461,-5.484892483410187,-0.15521700986739217
2025-10-01,-2.8805991051648716,5.2557617922245115,-1.225227333902501,3.5985690621793687,-8.07548704743024,15.532569374568306,5.287845887288234,-6.900138269253187,-7.6017526409864145,7.440444162149484,0.7838914368216932
2025-11-01,-8.145908878829012,-7.897034146218774,-7.990747980630597,-1.7221998141376704,-19.06406124509793,12.378724790777017,-3.82498313103401,-3.8999241869725254,-4.597873101216998,1.205274453436056,-1.0728356952250162
2025-12-01,-4.084584838092353,-2.2904540802632933,0.8508960978880209,20.89448667833882,-17.724249498970345,,,8.094905990267275,13.769257655497347,-2.142113545322444,-2.2682788774432527
2026-01-01,-2.604423711856818,-11.352159508561389,-0.728107644432685,0.8326836668483883,-23.133821367119488,,,-4.990439037761474,-2.1924182636892886,-4.913051249297162,3.556488526182444
2026-02-01,,,-6.917034873046557,-13.30765129338528,-22.066419872583744,,,-3.3009614770577067,-3.90401699924674,-4.298180347203995,-3.8345202823250046
