date,oficial,blue,mep,ccl,brecha_ccl_pct,brecha_mep_pct
2026-05-27,1430.0,1440.0,1430.0,1482.22,3.65,0.0
2026-05-28,1430.0,1440.0,1429.73,1484.37,3.8,-0.02
2026-06-07,1460.0,1435.0,1458.79,1511.68,3.54,-0.08
