year_quarter,bonds_nominal_usd_m,bonds_market_usd_m,discount_pct
2024Q4,55575.0,35224.0,36.6
2025Q1,54526.0,36015.0,33.9
2025Q2,57347.0,38636.0,32.6
2025Q3,57255.0,39755.0,30.6
2025Q4,59066.0,44265.0,25.1
