date,m2_ars_bn,m2_yoy_pct
2016-03-01,814.1079755198845,26.874722291194253
2016-04-01,813.1855162198489,24.944833073230456
2016-05-01,823.0300686660272,22.94963439734474
2016-06-01,852.512801114473,20.910144218945327
2016-07-01,897.3096393328273,20.69479895418269
2016-08-01,895.236020284936,19.386988784114557
2016-09-01,909.9491102283204,19.34352203915555
2016-10-01,933.3333946187404,20.735135208751675
2016-11-01,969.2981813745596,21.737187871226936
2016-12-01,1067.793607286003,25.53526052812487
2017-01-01,1079.5003548387097,31.383318272467765
2017-02-01,1079.8133928571428,32.149143607807204
2017-03-01,1070.643161290323,31.511199187873885
2017-04-01,1079.1939,32.711893961996516
2017-05-01,1096.0735161290322,33.175391502470355
2017-06-01,1151.075933333333,35.02154241303528
2017-07-01,1214.8474193548388,35.387759821471334
2017-08-01,1219.3405161290323,36.20324568050113
2017-09-01,1237.0078,35.94252536711813
2017-10-01,1263.8432903225805,35.411772214456214
2017-11-01,1289.3345333333334,33.017327186658996
2017-12-01,1413.0899032258062,32.337363099357596
2018-01-01,1416.893935483871,31.25460581210946
2018-02-01,1403.772107142857,30.001361015585502
2018-03-01,1391.088422580645,29.930164678222624
2018-04-01,1383.15459,28.16553077255164
2018-05-01,1382.1704580645162,26.10198474148737
2018-06-01,1409.1047333333333,22.416314382734924
2018-07-01,1472.6473290322579,21.220764482039
2018-08-01,1463.7385064516131,20.04345685965201
2018-09-01,1472.6019,19.045482170767226
2018-10-01,1452.0288806451613,14.889946543495004
2018-11-01,1435.5465066666668,11.34011147249192
2018-12-01,1607.3816483870967,13.749425618126665
2019-01-01,1608.1899677419356,13.50108342391463
2019-02-01,1584.7472392857142,12.89205927529089
2019-03-01,1616.5431161290323,16.207071375818096
2019-04-01,1637.3616333333332,18.378787531864617
2019-05-01,1676.7365483870967,21.311849678444705
2019-06-01,1750.2461666666668,24.2097996879437
2019-07-01,1823.3984516129035,23.817727141170984
2019-08-01,1842.6895483870967,25.88925824286299
2019-09-01,1943.7171666666668,31.992031700262437
2019-10-01,1981.2361612903228,36.446057492329345
2019-11-01,1982.7943666666667,38.1212212532708
2019-12-01,2254.1701612903225,40.23863987449627
2020-01-01,2411.862451612904,49.97372822810276
2020-02-01,2514.551965517241,58.67211522328402
2020-03-01,2666.096677419355,64.92580066800686
2020-04-01,3091.923933333333,88.83573856795512
2020-05-01,3362.7351612903226,100.55238639159137
2020-06-01,3540.900333333333,102.30870381375877
2020-07-01,3762.170516129032,106.32739447602195
2020-08-01,3753.340709677419,103.68817487257753
2020-09-01,3731.6797666666666,91.98676796512659
2020-10-01,3802.153709677419,91.90815229221256
2020-11-01,3886.5283333333336,96.01267779810618
2020-12-01,4111.00835483871,82.37347053185657
2021-01-01,4188.951548387096,73.68119585699368
2021-02-01,4164.6521785714285,65.62203667621414
2021-03-01,4208.5383225806445,57.85392773732028
2021-04-01,4215.7712,36.34783037676716
2021-05-01,4377.868258064516,30.187720652514137
2021-06-01,4641.640633333333,31.086452494520955
2021-07-01,5002.367290322581,32.96492726410525
2021-08-01,5133.869451612903,36.78133291699312
2021-09-01,5283.453266666666,41.583779880076
2021-10-01,5515.902548387097,45.07310775857811
2021-11-01,5788.593633333334,48.93995712540369
2021-12-01,6325.648419354839,53.87096968337388
2022-01-01,6608.5173387096775,57.760653528069675
2022-02-01,6586.839857142857,58.16062361784784
2022-03-01,6565.662483870968,56.008142985019816
2022-04-01,6688.1453,58.645832107776606
2022-05-01,7061.95735483871,61.31041270668221
2022-06-01,7559.4663666666665,62.86194825983187
2022-07-01,8329.889419354839,66.51894864796466
2022-08-01,8340.593967741934,62.462135945462705
2022-09-01,8655.518699999999,63.823133529120256
2022-10-01,8926.0496,61.82391769430484
2022-11-01,9288.761173333334,60.4666307865257
2022-12-01,10666.791516129031,68.62763797449485
2023-01-01,11157.131903225805,68.82957751918755
2023-02-01,11794.75562142857,79.06546807325488
2023-03-01,12060.293870967742,83.68738723007374
2023-04-01,12438.31453333333,85.97554292567973
2023-05-01,13179.95764516129,86.63320922110427
2023-06-01,14165.873033333331,87.39250029337387
2023-07-01,15260.627580645161,83.20324331300807
2023-08-01,16583.056096774195,98.82344304147632
2023-09-01,17761.852566666665,105.20841306329416
2023-10-01,20416.89435483871,128.733821452647
2023-11-01,21142.82113333333,127.61723268363556
2023-12-01,25249.40064516129,136.71036043952108
2024-01-01,30657.37470967742,174.77827613397318
2024-02-01,29650.285620689658,151.38533236603374
2024-03-01,30450.301580645162,152.48391047872346
2024-04-01,30580.60816666667,145.85813523780865
2024-05-01,34632.922225806455,162.76960183192327
2024-06-01,39096.50696666667,175.99080462368778
2024-07-01,44119.000451612905,189.10344753821536
2024-08-01,44745.564387096776,169.8270097259146
2024-09-01,45210.849,154.53903994702864
2024-10-01,45806.39141935484,124.35533349614917
2024-11-01,47439.857266666666,124.378085438532
2024-12-01,53427.689225806454,111.59983152330848
2025-01-01,55246.659225806456,80.20675204249335
2025-02-01,54422.994535714286,83.5496468126381
2025-03-01,55968.7995483871,83.80376102403535
2025-04-01,60008.571899999995,96.23079950846191
2025-05-01,61976.57077419355,78.9527616818086
2025-06-01,63185.94983333333,61.61533276413955
2025-07-01,66921.47729032258,51.684028661796354
2025-08-01,65151.86674193549,45.60519603306928
2025-09-01,63655.382366666665,40.79669763924731
2025-10-01,64868.37670967742,41.61424792407509
2025-11-01,64772.763133333334,36.5365894109583
2025-12-01,73066.60261290323,36.75793146152173
2026-01-01,70760.42912903226,28.08091949925384
2026-02-01,69600.02660714285,27.88716828411355
