year_quarter,bonds_nominal_usd_m,canje2020_pct,bonds_market_usd_m
2023Q1,63119.0,95.5,
2023Q2,64921.0,97.0,
2023Q3,57881.0,97.2,
2023Q4,59366.0,97.8,
2024Q1,59467.0,97.5,
2024Q2,58294.0,97.7,
2024Q3,57226.0,97.1,
2024Q4,55575.0,96.9,
2025Q1,54923.0,96.4,
2025Q2,57347.0,94.3,
2025Q3,57255.0,94.7,
2025Q4,59066.0,94.7,44265.0
