date,quarter,C_share_nom,G_share_nom,I_share_nom,X_share_nom,M_share_nom,NX_share_nom
2016Q2,Q2 2016,65.74206555334344,16.353319726689968,13.840726090517041,12.129824281121614,12.39015255851694,-0.26032827739532544
2016Q3,Q3 2016,65.9524662023836,17.608280725433946,14.746531704411717,13.038843146399712,13.500077573748484,-0.4612344273487706
2016Q4,Q4 2016,62.991258709319375,19.400532537979537,14.674006480440582,12.209458486631855,13.609421553331744,-1.39996306669989
2017Q1,Q1 2017,69.82556262853538,17.354329859958096,14.702317790782294,11.221498353628517,13.927122293504993,-2.7056239398764768
2017Q2,Q2 2017,68.40232779003733,17.335764007265475,14.58158115847619,11.185347307809373,13.178270316187337,-1.9929230083779632
2017Q3,Q3 2017,66.47601519533507,17.107773794807027,16.062898280572973,11.848136080378485,14.733989167853412,-2.8858530874749264
2017Q4,Q4 2017,63.060115582450884,18.850575599109796,15.713414244923849,11.019202887928781,13.989918948982716,-2.9707160610539356
2018Q1,Q1 2018,72.12851608557574,15.500184986449717,15.901450446474518,11.869916774129132,15.411180520971646,-3.541263746842513
2018Q2,Q2 2018,71.58384648117317,15.450484826797112,14.636960066818489,12.139652463907908,15.353877506143872,-3.2142250422359657
2018Q3,Q3 2018,70.81757041085062,14.856600855733165,15.148525247971323,15.645666099269617,18.30354318208355,-2.657877082813932
2018Q4,Q4 2018,64.4621980602899,17.19714399555798,13.719227490444244,17.211608321338755,16.040958993959567,1.1706493273791903
2019Q1,Q1 2019,71.53255118829249,16.67504294381035,13.411301026130202,16.104080379986332,15.392623115318175,0.7114572646681568
2019Q2,Q2 2019,69.35503639682615,16.318717703115535,13.074153080263166,16.50032201845404,14.106592930554124,2.393729087899914
2019Q3,Q3 2019,64.78236623523624,15.758320434516888,14.374900371266447,18.551406403634097,15.6750713084406,2.8763350951934967
2019Q4,Q4 2019,60.851272605300665,16.993278187471557,12.592761250256343,19.83305669893187,13.876473445775117,5.9565832531567535
2020Q1,Q1 2020,70.44062441957519,16.51003572977442,12.31556695052232,16.73658904603433,13.845512927872223,2.891076118162105
2020Q2,Q2 2020,68.23988682008809,18.2458042182824,10.775998715939949,18.122958025454356,12.468023585844994,5.654934439609362
2020Q3,Q3 2020,63.34581920125335,16.066558412305824,15.767272900624404,17.422210726352702,13.803321112881534,3.618889613471167
2020Q4,Q4 2020,62.16195470446662,16.82030914339325,17.0190742006689,14.677431846703001,14.073173411112725,0.6042584355902754
2021Q1,Q1 2021,66.95393567539948,15.023039800150947,17.753740579668882,16.768746705656145,14.289422678225755,2.479324027430391
2021Q2,Q2 2021,63.619714900522396,14.733285687976252,16.428798388249845,18.00899818230512,14.373592220867462,3.6354059614376584
2021Q3,Q3 2021,60.9213702247684,15.657907300589875,17.26918081033967,20.73144005712303,16.13771141126979,4.5937286458532425
2021Q4,Q4 2021,61.449658967150086,17.755637967784,16.725566782283067,16.665768772393854,15.062311802100695,1.6034569702931594
2022Q1,Q1 2022,68.56365691170917,15.7976409806358,16.45268879746026,16.036785925970626,15.391214685009988,0.6455712409606396
2022Q2,Q2 2022,67.65971745650172,14.891713655019048,16.747045539135023,17.099043093693904,16.301122198880535,0.7979208948133688
2022Q3,Q3 2022,64.31243502318914,14.811448830094184,18.64078347485061,16.343342097634036,16.971403230755445,-0.6280611331214072
2022Q4,Q4 2022,64.46057904930615,17.009350518801824,17.609388579337416,15.755096830923954,13.080472149052355,2.674624681871599
2023Q1,Q1 2023,68.06425146538429,16.3887476543678,17.514902173907426,12.662530103675373,14.313505072981078,-1.6509749693057023
2023Q2,Q2 2023,66.31433634201687,16.864457365544585,18.459572614870673,12.351676480445532,14.563128326420147,-2.211451845974615
2023Q3,Q3 2023,65.43054133193141,15.632381920503077,19.700541430076914,12.955562252081673,14.66293551461882,-1.7073732625371465
2023Q4,Q4 2023,64.71547332720563,16.198326386162616,18.30784631286762,12.63199294946257,12.175134749061408,0.4568582004011612
2024Q1,Q1 2024,69.0880455785249,14.304887921918313,14.448166089457892,16.668778852790535,13.79659871331781,2.872180139472725
2024Q2,Q2 2024,64.7944996091784,15.328055101816998,13.728542832008362,15.572077943741311,11.75540763911052,3.8166703046307897
2024Q3,Q3 2024,67.70670440259093,14.519723339344576,17.13003149969644,14.933509129687355,12.72775560376739,2.205753525919965
2024Q4,Q4 2024,68.05460493287595,16.172614727534466,17.050944328211376,14.304521521578964,12.09061815490707,2.2139033666718944
2025Q1,Q1 2025,77.04054614652553,14.999259793633385,15.919245501867591,13.513056587378156,14.981346169355108,-1.4682895819769533
2025Q2,Q2 2025,69.44810362070167,15.548907312526966,16.451859171926802,13.915028262200785,13.809439742217004,0.10558851998378177
2025Q3,Q3 2025,68.68103777844861,14.64362874814592,17.350130661453676,16.93192788342269,15.910968887539017,1.0209589958836742
2025Q4,Q4 2025,69.27449724309902,16.10238427139226,15.427729257897523,17.198802895861615,14.55053842773685,2.6482644681247622
2026Q1,Q1 2026,78.37723887906058,14.747356009355489,13.80769771561989,15.736411996627822,14.396930166412321,1.3394818302154983
