date,emae_yoy_pct,agricultura_pct,mineria_pct,industria_pct,comercio_pct,construccion_pct,financiero_pct,transporte_pct
2024-04-01,-1.83704878128769,64.32290218658505,8.724117248223017,-15.87894976018822,-14.803988973337557,-24.395507940639483,-10.13137518666819,1.0894895183033215
2024-05-01,1.95365220819569,96.01075989589773,7.527918633086483,-14.692077398969271,-13.000348017743224,-21.648118829141794,-9.598124774495197,2.76232169463857
2024-06-01,-3.40322714701887,76.3812694080351,3.694311011558793,-19.682493249152323,-18.67882864262923,-23.160239149083907,-10.915937810032828,0.7928767688515137
2024-07-01,-0.34977745911484004,25.407039718667402,5.824208749426951,-5.501602217497759,-4.815199025528583,-12.996311469703015,-2.909441558738035,1.22579261980722
2024-08-01,-3.03698993658427,6.218618813734911,6.535479082328055,-6.3416843217009795,-6.519826659087635,-16.488232421434766,-3.827597429835916,-1.8277950636112483
2024-09-01,-2.41757521106886,4.614366897231004,8.43197116337604,-6.135661879474153,-5.84110295865774,-15.183498159465946,-0.6359550525099067,-0.23507530354290873
2024-10-01,0.33062775384529003,2.6294855277187112,8.574107200146841,-1.5891163635286754,-0.22917641303468184,-14.527004939469201,0.04487184172707881,1.8166044720969055
2024-11-01,1.16827291033596,1.638085668915834,7.888891518967478,-1.440667671227902,0.43392340072447855,-14.244981670115953,7.1838927714305445,1.4218380472421854
2024-12-01,6.62542028149406,8.707226673591117,7.432320732386821,7.876428058685736,9.068225386312868,-6.750587589126667,16.182707277598475,3.302337073948225
2025-01-01,6.3613519860133305,1.2940702529720127,8.667943500525531,6.184290496738054,8.427293918853973,2.5214098645511607,24.307054852093835,2.8360555959384692
2025-02-01,5.66081117603289,4.1819748493356235,5.219044847729948,5.060985086459269,6.262468510756225,4.517428595802397,27.997583686304207,2.9279364463409063
2025-03-01,5.49764787882423,6.620050630750418,5.776656773541022,4.351977661759698,6.7686569752209325,10.779364952295655,27.616674262373287,1.962120748894769
2025-04-01,7.7926947001881,6.683145541828828,4.638367951128353,7.952782555301985,13.918758841522848,16.053655957418012,27.814898542591738,2.44451229692797
2025-05-01,5.16741086536638,4.580910026774254,4.74783159364891,5.260967476112777,8.639831420098897,6.082962318384544,25.70387629164412,0.9678269047953769
2025-06-01,6.26262661321845,4.745990460965155,11.208439584185182,7.99325037601426,9.939194682554731,9.056478012550562,27.911712382408037,1.5772363007556356
2025-07-01,2.81263925624826,1.6732602983961176,13.451008715827673,-1.0346331134364894,1.161776838413986,0.8238319560797791,21.783943688039532,1.0884336500275982
2025-08-01,2.16191765464,-0.5747563443778025,9.42973975791288,-4.610917515797086,-2.8447258056375047,-0.7229087187950789,25.23274579702004,2.9254833970995264
2025-09-01,4.82982085874981,1.331618149979974,8.041688487678789,-0.7197588979247938,0.7328203263746946,2.409669280477811,39.200607552576194,2.946874947664191
2025-10-01,3.08811457014952,2.1963399887011237,7.862813994847917,-2.9077812935098923,0.3941463837929815,4.236816540329547,23.549866516881423,2.7450706786480428
2025-11-01,-0.25216554310156003,8.81462692976147,6.8888548886058,-8.106417398316768,-5.833639937670421,-2.0444538301150783,14.306700096961,1.9380567134044346
2025-12-01,3.3344302606506995,29.893235834867006,9.493454900805443,-4.096958897724978,-1.1248481610488748,0.5508917500266941,14.0026126146509,1.905684030182142
2026-01-01,1.54275596369242,24.917383871044407,10.316255553107577,-2.9961056851463996,-3.6086202066156314,-0.19464818472401113,7.134648408249422,2.3405138191844976
2026-02-01,-2.0251835647787297,8.156517449928335,10.000265572551736,-9.082628363761414,-5.862562800434912,-1.0510951060968443,6.016537686509005,-0.8463898467393371
2026-03-01,5.47993204369523,17.91406971077314,16.25454967841207,4.579855042656167,2.177910073116629,7.552940271475483,8.844300233834268,4.667341282920656
