date,cpi_index,cpi_mom_pct,cpi_yoy_pct
2024-04-01,5830.2271,8.83192076060508,289.40487960744707
2024-05-01,6073.7,4.2,276.4092416317781
2024-06-01,6351.7145,4.57706578830274,271.529701338579
2024-07-01,6607.7479,4.03093369514639,263.4457278591889
2024-08-01,6883.4412,4.17227327937252,236.71661538870933
2024-09-01,7122.2421,3.46920810480664,209.00114198983206
2024-10-01,7313.9542,2.69173804131146,192.99496489366348
2024-11-01,7491.4314,2.4265560755083597,166.02501194220528
2024-12-01,7694.0075,2.70410405146337,117.76362746413854
2025-01-01,7864.1257,2.21104801366518,84.53750815082385
2025-02-01,8052.9927,2.40162743075178,66.87414642180414
2025-03-01,8353.3158,3.7293353066121604,55.93001569937308
2025-04-01,8585.6078,2.78083584485095,47.260263669660475
2025-05-01,8714.4871,1.5011086343823,43.47905066104683
2025-06-01,8855.5681,1.6189248819933302,39.42012192141193
2025-07-01,9023.973,1.90168375533128,36.56654485864994
2025-08-01,9193.2441,1.87579351135027,33.555932750613174
2025-09-01,9384.0922,2.07596032395136,31.757557076022437
2025-10-01,9603.8623,2.34194310239195,31.30875634960908
2025-11-01,9841.3581,2.47291967107856,31.368193533748425
2025-12-01,10121.3715,2.8452719345717097,31.548760512645725
2026-01-01,10413.0309,2.88161935366171,32.41180643895354
2026-02-01,10714.6255,2.89631907267269,33.05147414327099
2026-03-01,11077.0608,3.38262219244152,32.60675239884981
