date,core_mom,core_yoy,regulated_mom,regulated_yoy,seasonal_mom,seasonal_yoy
2023-05-01,7.841789729669557,110.31350766681021,9.032497245906645,105.26209020657933,5.973887908338571,149.07279990235028
2023-06-01,6.492213089968435,113.13312511118592,7.184461056405578,109.0131942029966,1.8400477503361712,137.94935151887054
2023-07-01,6.497529400342006,111.48238997778974,6.719723926508925,112.61600189458423,5.102065562795155,124.69847540665873
2023-08-01,13.78668190881578,125.31386656507726,8.27579440421784,116.58593505036161,10.65178012578205,128.79902059769086
2023-09-01,13.42821144291415,142.2166165536033,8.317068218178658,124.39402240555025,14.69278629261488,134.8588744910419
2023-10-01,8.81103433546322,149.70204489302418,6.621175897320719,122.74202748012274,7.618999864067044,131.7834446899222
2023-11-01,13.403615501221399,170.31530331452598,10.056235889450726,130.76130411699975,12.80823056057483,151.16547614701844
2023-12-01,28.25875987091053,229.4056981540289,20.679933015519826,164.94095337223436,16.229288187371594,178.9780526673431
2024-01-01,20.21648871207129,275.88220928477824,26.57193595980145,213.1090855325848,16.207762605895404,200.40770982023983
2024-02-01,12.290140839705677,291.93779728094614,21.106121889298322,260.6524385582244,8.693508975351438,215.9863702340633
2024-03-01,9.41204797536992,299.9875636374728,18.126817923582838,293.4227473551915,11.142630726486935,221.23151342144726
2024-04-01,6.298438398652029,292.2306815515389,18.394088937479136,344.05420275278436,9.946923329538615,213.52418024697505
2024-05-01,3.7346867424331354,277.29276362636097,4.017450817261081,323.62953579667646,7.164153390205996,217.04558553694162
2024-06-01,3.6511302858435624,267.22705129156327,8.056568242069662,327.07640074880226,4.445862724651906,225.1579357624464
2024-07-01,3.7855879288956507,257.8756768940333,4.332272898472689,317.52217820677345,5.075139144443064,225.07463256034518
2024-08-01,4.120285573091365,227.4734534198873,5.889716807666567,308.3212268679795,1.5275183973345818,198.269225314408
2024-09-01,3.262205751650904,198.12363868812932,4.531648813386213,294.0513881343338,2.9391660114567397,167.7028459524438
2024-10-01,2.9178168076062105,181.97722979021492,2.6962073534600783,279.545458237431,1.3624749810563275,152.1397063667778
2024-11-01,2.7148338562957175,155.39965530330466,3.5436502986155194,257.08582873613733,-1.201997031995028,120.82519452869502
2024-12-01,3.197281506150129,105.49512681579097,3.3739790036057205,205.8783845820285,-1.4049630005396607,87.32170319989353
2025-01-01,2.397689431239436,75.03610694964186,2.6133785432829404,147.97925564867697,0.355954073908471,61.769298554769115
2025-02-01,2.9203528091388264,60.43062860978523,2.321236815959038,109.51495883806092,-0.8186981698089513,47.61221509977447
2025-03-01,3.1927902426889476,51.31134562401309,3.207746086008356,83.05383191619993,8.44043582818681,44.02334040819913
2025-04-01,3.2147159664202674,46.921796748402734,1.7700455867495135,57.350734197368205,1.882175734300362,33.459043990973704
2025-05-01,2.1972650333935473,44.74431140627273,1.3125263584931934,53.258903007587534,-2.731481117783463,21.135315586088453
2025-06-01,1.7137349662716073,42.03882280542648,2.225695147090878,44.98885308233931,-0.21413445109182971,15.730695299671261
2025-07-01,1.4791483194941168,38.8822769542275,2.3055550579646145,42.1723564504416,4.051481646059529,14.603229802111507
2025-08-01,2.0449004208132004,36.11399588470383,2.668472682030898,37.847367378314736,-0.7913755621061114,11.98568589366622
2025-09-01,1.895876192364887,34.31298287460906,2.6343571065729154,35.3453819040415,2.2028328527229135,11.184642160536672
2025-10-01,2.2167187118103504,33.39801421850079,2.5649365238821,35.17237745704238,2.79357735173682,12.754420374899954
2025-11-01,2.6389973653884624,33.29952369953173,2.8887464145627373,34.31742483794924,0.42531980548674575,14.611615472618599
2025-12-01,3.033892113375969,33.08847426182873,3.2907204726481343,34.20924411798658,0.6076642674375021,16.95119025799412
2026-01-01,2.630369065853122,33.390892975908514,2.4302373998006166,33.969711663421705,5.707291638385126,23.187445031447318
2026-02-01,3.0753751896320347,33.591811192770706,4.250890379741246,36.49621681127462,-1.2753259420706708,22.62029368782379
2026-03-01,3.1889458451843655,33.58683429443921,5.082429412317269,38.97555766953826,1.0459136228223143,14.258851043499355
2026-04-01,2.286474435452468,32.38544700754345,4.684940649611646,42.956092065232696,-0.04806164152015846,12.094127889395946
