date,food_mom,food_yoy,alcohol_tobacco_mom,alcohol_tobacco_yoy,clothing_mom,clothing_yoy,housing_mom,housing_yoy,household_equipment_mom,household_equipment_yoy,health_mom,health_yoy,transport_mom,transport_yoy,communication_mom,communication_yoy,recreation_mom,recreation_yoy,education_mom,education_yoy,restaurants_mom,restaurants_yoy,misc_goods_mom,misc_goods_yoy
2023-04-01,10.148241710511897,114.96549939325438,3.788248610211342,114.26866236974998,10.846474055538447,120.71517041699656,5.61880708931366,95.01893910398937,8.641652298614622,111.29158151567489,6.581000298752082,97.21776340664748,6.450503293517995,93.54237832234959,6.267166726072126,80.9762482096802,7.543857363411921,105.22164352694054,5.028740536586596,98.50931620331255,9.888414416028768,126.64128273493147,6.593657247884366,110.9534854196692
2023-05-01,5.805917685766282,117.83436964786178,8.438809171727257,119.91214810090267,7.640600200203984,124.65684523549552,11.853187533968047,110.64907533058532,8.758561882171922,118.12237146724307,9.046969484567846,102.48452621867044,8.13557574024344,97.22174224284763,6.7291341768928925,87.40428597897494,8.362633158555033,111.40038070873968,4.913044687974644,101.71068387576997,9.334197707117987,134.4693834412405,7.10616156704218,116.09268220334918
2023-06-01,4.149053554025417,116.85938798874042,4.506240844115217,115.34369125876798,4.214571546433699,121.39255318234578,8.094547923562567,113.18123775406441,7.994376962374861,122.25323992559547,8.601495017465876,104.71934984066272,6.497618794315141,100.52854227254086,10.476310162240775,106.24562382508094,6.462479047394987,115.70838324081114,6.571262540642975,110.69360440364777,6.294752351225186,134.6526963370221,6.557816609498213,119.23598096728423
2023-07-01,5.761633503121044,116.33588127610169,9.040069426785546,120.58785889429085,3.041820283258878,110.31292770422266,3.9845880430876557,111.99879142285792,6.15597849105074,113.85431272183962,9.031472192166866,108.91011332009839,5.288562282731957,100.12736401939088,12.167753856041141,119.25254055561525,11.190916556346497,111.89960747983557,6.131588884277384,110.75619866824651,7.4513968597995195,129.71822425937,6.3172124167140575,115.60519311998037
2023-08-01,15.590776430369946,133.49306853538283,8.481226155431543,123.59833667965012,9.142335492307785,108.9484921712848,9.136425214477729,119.21754915018869,14.061924861917486,124.97331562778578,15.264447407955739,127.75960380858069,10.455341600940148,106.91507124182911,4.490310644647333,120.17091396171611,11.586390403127922,125.12903252790824,8.672348171714383,118.14749047506407,12.44549369579282,142.1885915359568,9.369879868788434,117.02409314165428
2023-09-01,14.347751763939032,150.1323433058067,11.545670077039837,127.93365948192567,15.712818061115641,118.55818524500519,8.457056046502153,130.5993669434014,12.654583618268944,138.99052779348168,9.542099476475352,139.14583865390452,10.845696211607535,116.75787269546025,9.580360212556771,135.46131055169988,15.132197180875862,146.2926889099113,8.142001370433682,127.58641879002441,13.242188172247605,161.57575321098162,11.67899916446662,126.9462699697816
2023-10-01,7.7055098226642915,153.75539360491027,9.842097921033455,137.43169412031443,10.98543383771704,127.06156514929275,7.808115255535597,131.33189719903794,10.694122278820517,152.12557559549023,5.107406276258986,134.66189977941738,7.083367635543425,122.17520024718853,12.643450178875849,136.5550184555163,9.301063204822446,154.84578413080894,6.598155530030603,126.51448169369166,8.785324867396515,164.90997494417812,7.667212705695614,130.19230665426366
2023-11-01,15.66696690616103,183.55659598537798,11.75875852981707,149.52471938026517,10.014287134077415,139.06307924326663,7.067910891082896,127.9584804092408,12.445540071905036,168.92573125101342,15.872080438836477,161.21449912273587,10.388907945616888,131.17620891283207,15.20739673725422,156.24130366532364,13.18954273454429,176.9114573619254,8.310020352321734,136.44034324682005,12.029493159109483,181.25280271334333,11.514400163206528,142.5326254576425
2023-12-01,29.68290285561308,251.34164171279477,20.231166942397707,180.0153041623211,17.244429441946085,169.4399362724022,13.81655930594774,149.01730489771586,30.67878971551645,231.73305299869287,32.593997973951126,227.73731738008266,31.656075532420648,187.71249420099753,15.587821307886497,186.44784835736363,20.191194140750635,218.15095320391217,6.217580918190668,141.69709200600207,21.585935246696696,219.11140679974488,32.70996352128967,204.37383655720504
2024-01-01,20.39664124375351,296.1848985897692,21.019055606826775,215.86170912281503,11.931633869013435,194.8147799649997,14.008064634734808,162.8010871300067,22.328280027881988,284.9682074541465,20.45413274534742,276.34797662032713,26.288760634769147,242.97575824974098,25.10072489062467,231.9052514763523,24.010468746217796,262.0985051229477,0.8604310503101065,141.22391578644908,19.44866533715397,258.82412474489615,44.36390130020915,311.4083633749079
