date,nominal_wage_yoy_pct,nominal_wage_mom_pct,consumer_credit_yoy_pct,total_credit_yoy_pct,deposits_yoy_pct,personal_loans_pct,personal_loans_mom_pct,credit_cards_pct,credit_cards_mom_pct,mortgages_pct,mortgages_mom_pct,auto_loans_pct,auto_loans_mom_pct,overdrafts_pct,overdrafts_mom_pct,commercial_paper_pct,commercial_paper_mom_pct,cpi_yoy_pct,cpi_mom_pct,real_wage_yoy_pct,real_consumer_credit_yoy_pct,real_total_credit_yoy_pct,real_deposits_yoy_pct,real_personal_loans_pct,real_credit_cards_pct,real_mortgages_pct,real_auto_loans_pct,real_overdrafts_pct,real_commercial_paper_pct,real_wage_mom_pct,real_personal_loans_mom_pct,real_credit_cards_mom_pct,real_mortgages_mom_pct,real_auto_loans_mom_pct,real_overdrafts_mom_pct,real_commercial_paper_mom_pct
2024-02-01,,14.068615729262369,,,,,8.524706123854632,,9.689041876343762,,0.6056925438225003,,1.9137911176690947,,40.973792814011276,,6.743482039688398,,,,,,,,,,,,,,,,,,,
2024-03-01,231.7158591774258,9.986980818774093,97.02942572187918,169.18901975839486,92.55187794273753,97.02942572187918,9.534286345576914,165.3803021241189,5.522488923816393,52.63991552707308,-0.6174254548903302,107.25445760313504,7.087495117854936,205.07282687500293,8.953643942909938,158.6418681919396,8.710014049975179,,,,,,,,,,,,,,,,,,,
2024-04-01,247.5559914991009,11.965171072529346,105.18484221295034,163.5492168076576,116.1597793654678,105.18484221295034,10.807790126010076,166.83628779235517,6.241573567369585,47.84326823914533,-1.194998822384996,101.8519536524444,3.9330763433711224,197.70423349391515,12.373030837457222,142.365781746698,6.214289101669523,289.40487960744707,8.83192076060508,-10.746883334007862,-47.30809680151056,-32.32000146651027,-44.4897096350269,-47.30809680151056,-31.47587465741347,-62.0335347651052,-48.1639896613704,-23.548920651937866,-37.75995257403474,2.8789809919981035,1.8155237467059493,-2.380135510916348,-9.213215675064712,-4.501293722463862,3.253742148538774,-2.40520578947927
2024-05-01,246.04100083498892,7.676835550777228,129.46768327597846,177.7165015031685,110.19323324193363,129.46768327597846,17.883904986426312,172.0158865414269,11.20883510453432,44.4549113500077,0.3103313553007636,94.0443636670848,4.043021741975417,230.76028070246258,13.23401306312837,129.6945593390035,8.532015452817054,276.4092416317781,4.2,-8.06787863792593,-39.03771270832534,-26.219531619565185,-44.15832291186015,-39.03771270832534,-27.734004254994872,-61.62291055241398,-48.448565495926786,-12.127481443181875,-38.97743893235705,3.336694386542449,13.1323464361097,6.726329274984955,-3.732887374951288,-0.15065091940938968,8.669878179585755,4.157404465275483
2024-06-01,249.27544127260842,6.691850378795761,171.68536827980049,196.4359100719098,92.79802387318867,171.68536827980049,21.18751515355781,169.98040675662568,7.5226458472020585,43.32791170454047,2.30297939458437,109.1516590471346,15.060063249312329,263.6980141632958,12.665606180125355,163.61500653989737,22.44165606530588,271.529701338579,4.57706578830274,-5.989900668988513,-26.873849573547094,-20.212055993401023,-48.10696878915483,-26.873849573547094,-27.332752729077324,-61.422219761126385,-43.70526547579235,-2.1079572230878196,-29.046047842171795,2.022225977131553,15.883453260086577,2.8166596917742037,-2.1745555553469575,10.02418396613891,7.734526046271362,17.08270369066076
2024-07-01,235.05941074864305,6.272908770452168,217.07780536363708,213.751543585707,92.50063983583445,217.07780536363708,19.005332486010506,184.9012409352226,10.680883399727858,47.86143079179428,7.379859037834868,130.68540663368023,18.91627634501596,263.4671714908899,11.406772928038954,204.64857838688576,26.132501950521437,263.4457278591889,4.03093369514639,-7.810331759228617,-12.757866977464182,-13.673068759453155,-47.034556997072286,-12.757866977464182,-21.611063469260827,-59.31677841895537,-36.52823820698327,0.005900091831390064,-16.177697236568743,2.1551042518523245,14.394178980211091,6.392281092149532,3.219163015975801,14.308573537838054,7.090044250210048,21.245188782157577
2024-08-01,224.85162783836228,5.037811102264267,270.1199324521693,218.09017609900053,85.82130848936755,270.1199324521693,22.551241127407494,200.94876735383286,15.635237310615135,60.37178221589539,13.438496525060838,169.28558365215474,25.0724268660101,248.14960818165557,-0.24136711162972002,216.54638016509404,15.837318443816596,236.71661538870933,4.17227327937252,-3.5237309381510595,9.920305543846952,-5.531785019936198,-44.813739507670746,9.920305543846952,-10.62253729106467,-52.37188339198514,-20.02604821229611,3.3954346980317185,-5.990270245598239,0.8308715895740448,17.642859533981436,11.003853204298286,8.89509555084571,20.063067579015836,-4.236866732441946,11.19784065109184
2024-09-01,197.70943785766545,3.7665622194509307,311.9867463143853,224.20441472562632,97.79231369293674,311.9867463143853,18.71100228952156,199.40136836817453,8.361579610954962,80.64946293920387,18.904205290591648,188.5114862912085,14.12772910546487,249.95687405846348,1.8145099008539223,237.3678988150602,14.3372477173632,209.00114198983206,3.46920810480664,-3.6542596766642954,33.32855136436423,4.920134805292897,-35.98977906060772,33.32855136436423,-3.1067113732458074,-41.537606697535026,-6.630932030438186,13.254233238393386,9.180146274722034,0.28738416007116907,14.730753684010134,4.7283357007939175,14.917478802148064,10.301152580448791,-1.5992180033664094,10.503646265029909
2024-10-01,184.6226167268102,3.9511667168824482,334.79710901663486,212.19933352759836,126.8818567667922,334.79710901663486,15.999693440221652,197.40325732518528,10.683814105274237,107.1786466927541,23.61266085108791,198.5290199504776,11.377002888882348,219.4727434227981,2.8465930258000816,213.9860802928011,10.777239915109838,192.99496489366348,2.69173804131146,-2.857505817511863,48.39746791363311,6.554504662189231,-22.56458849074955,48.39746791363311,1.5045625214486824,-29.289349129960186,1.888788450280221,9.036939777700347,7.164326324432202,1.2264167493828415,12.959129578230112,7.7825891511814405,20.37254720663142,8.457608190521547,0.15079595247118327,7.873566099880103
2024-11-01,167.37356165244907,3.2799148932035838,367.4681576206257,207.32249625435242,151.7795476166353,367.4681576206257,13.574026913879012,197.20029575959134,12.81894949168394,138.16363910730578,25.435120909612618,211.36132840779683,11.129958929332817,224.90387848482803,5.011984192919705,212.5578244450336,6.008423080111069,166.02501194220528,2.4265560755083597,0.5069259091084133,75.72338563495092,15.52391033107785,-5.354934192678429,75.72338563495092,11.718929581012084,-10.473215518904855,17.042125525941508,22.132831087106307,17.491893774611555,0.8331421560890062,10.883379531137205,10.146190416198664,22.463475992634606,8.497213210418142,2.524177534100991,3.4970100937125714
