date,reserves_usd_bn
2024-04-01,27.578
2024-05-01,28.664
2024-06-01,29.886
2024-07-01,26.402
2024-08-01,26.719
2024-09-01,27.172
2024-10-01,28.618
2024-11-01,30.214
2024-12-01,29.612
2025-01-01,28.31
2025-02-01,28.117
2025-03-01,24.986
2025-04-01,38.928
2025-05-01,36.919
2025-06-01,39.973
2025-07-01,38.866
2025-08-01,39.986
2025-09-01,40.374
2025-10-01,39.382
2025-11-01,40.335
2025-12-01,41.167
2026-01-01,44.503
2026-02-01,45.566
2026-03-01,46.011
