date,m2_ars_bn,m2_yoy_pct
2023-03-01,12060.293870967742,83.68738723007374
2023-04-01,12438.31453333333,85.97554292567973
2023-05-01,13179.95764516129,86.63320922110427
2023-06-01,14165.873033333331,87.39250029337387
2023-07-01,15260.627580645161,83.20324331300807
2023-08-01,16583.056096774195,98.82344304147632
2023-09-01,17761.852566666665,105.20841306329416
2023-10-01,20416.89435483871,128.733821452647
2023-11-01,21142.82113333333,127.61723268363556
2023-12-01,25249.40064516129,136.71036043952108
2024-01-01,30657.37470967742,174.77827613397318
2024-02-01,29650.285620689658,151.38533236603374
2024-03-01,30450.301580645162,152.48391047872346
2024-04-01,30580.60816666667,145.85813523780865
2024-05-01,34632.922225806455,162.76960183192327
2024-06-01,39096.50696666667,175.99080462368778
2024-07-01,44119.000451612905,189.10344753821536
2024-08-01,44745.564387096776,169.8270097259146
2024-09-01,45210.849,154.53903994702864
2024-10-01,45806.39141935484,124.35533349614917
2024-11-01,47439.857266666666,124.378085438532
2024-12-01,53427.689225806454,111.59983152330848
2025-01-01,55246.659225806456,80.20675204249335
2025-02-01,54422.994535714286,83.5496468126381
2025-03-01,55968.7995483871,83.80376102403535
2025-04-01,60008.571899999995,96.23079950846191
2025-05-01,61976.57077419355,78.9527616818086
2025-06-01,63185.94983333333,61.61533276413955
2025-07-01,66921.47729032258,51.684028661796354
2025-08-01,65151.86674193549,45.60519603306928
2025-09-01,63655.382366666665,40.79669763924731
2025-10-01,64868.37670967742,41.61424792407509
2025-11-01,64772.763133333334,36.5365894109583
2025-12-01,73066.60261290323,36.75793146152173
2026-01-01,70760.42912903226,28.08091949925384
2026-02-01,69600.02660714285,27.88716828411355
